Season,Volume,Episodes,Release date,Release_Date
Season_1,Season One,1–13,"April 18, 2017",2017-04-18
Season_2,Season Two Part One,13.5–25,"April 3, 2018",2018-04-03
Season_2,Season Two Part Two,26–38,"June 5, 2018",2018-06-05
Season_2,Season Two Complete,13.5–38,"September 17, 2020",2020-09-17
Season_3,Season Three Part One,39–50,"May 7, 2019",2019-05-07
Season_3,Season Three Part Two,51–63,"September 3, 2019",2019-09-03
Season_3,Season Three Complete,39–63,"November 10, 2020",2020-11-10
Season_4,Season 4 Part 1,64–76,"September 29, 2020",2020-09-29
Season_4,Season 4 Part 2,77–88,"February 16, 2021",2021-02-16
Season_4,Season 4 Complete,64–88,"February 15, 2022",2022-02-15
Season_5,Season 5 Part 1,89–101,"March 29, 2022",2022-03-29
Season_5,Season 5 Part 2,102–113,"December 19, 2022",2022-12-19
